,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,22609071,22609071,22609071,22609071,22609071,22609071,22609071,22609071,22609071,22609071,22609071,22609071,22609071,22609072,22609073,22609078,22609079,22609082,22609084,22609084,22609084,22609084,22609084,22609084,22609084,22609084,22609084
,33889981,33933830,33973670,34014029,34047349,34071523,34093089,34113432,34125853,34130901,34133906,34142425,34146059,34146105,34148993,34150750,34151751,34153552,34154867,34160133,34160399,34160426,34160426,34160426,34160426,34160426,34160426
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,729,729,706,692,729,729,729,729,669,724,734,729,749,629,341,1042,789,706,659,724,336,1047,744,729,644,714,381
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,73031859366,73031859366,73031859366,73031859366,73031859366,73031859366,73031859366,73031859366,73031859366,73031859366,73031859366,73031859366,73031867558,73031875750,73031892134,73031916710,73031924902,73031965862,73031982246,73031982246,73031982246,73031982246,73031982246,73031982246,73031982246,73031982246,73031982246
,0,0,0,0,0,0,0,0,0,0,0,0,1638.4,1638.4,3276.8,4915.2,1638.4,8192,3276.8,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4,60.8,2.4,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.4,55.8,2.2,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Com Commit,16,17,18,16,17,17,17,17,17,15,19,17,17,9,11,17,27,48,73,40,10,19,20,17,10,11,13
,5,5,6,4,5,5,5,5,5,5,5,5,5,5,3,7,5,5,5,5,3,7,8,5,2,5,3
